                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9551,                 2.6088,                 1.8022,                 0.1955,                0.12903,                0.08507,                0.03787,                 2.1328,                 1.7526,                 1.2757,               0.055111,              0.0049877,              0.0049877
                      2,                 2.1317,                 1.8653,                 1.2682,                0.17568,                0.17355,                0.11616,                0.05655,                 1.9132,                 1.5797,                 1.1649,               0.010012,              0.0098888,              0.0098888
                      3,                 1.9654,                 1.6593,                 1.1835,                0.21027,                0.19553,                0.14277,                0.07292,                 1.8186,                 1.4767,                 1.1187,               0.009802,               0.009802,               0.009802
                      4,                 1.8541,                 1.5358,                 1.1458,                0.23614,                0.20579,                0.16676,                0.08703,                 1.7214,                 1.3806,                 1.0847,               0.009802,               0.009802,               0.009802
                      5,                  1.781,                 1.4525,                 1.1195,                 0.2423,                 0.2215,                0.17765,                0.09355,                 1.7016,                  1.311,                 1.0765,               0.009703,               0.009703,               0.009703
                      6,                 1.7291,                  1.406,                 1.0945,                0.29306,                0.22077,                0.19165,                 0.0997,                 1.6679,                 1.2849,                 1.0558,               0.009604,               0.009604,               0.009604
                      7,                 1.6975,                 1.3538,                  1.089,                0.27526,                0.23116,                0.19607,                0.10617,                 1.6085,                 1.2385,                 1.0433,               0.009505,               0.009505,               0.009505
                      8,                 1.6658,                 1.3235,                 1.0759,                0.31088,                0.23055,                0.20933,                0.11216,                 1.5983,                 1.2535,                 1.0384,               0.009406,               0.009406,               0.009406
                      9,                 1.6442,                 1.2966,                 1.0674,                 0.2889,                 0.2323,                 0.2059,                 0.1108,                 1.5799,                  1.207,                 1.0289,               0.009307,               0.009307,               0.009307
                     10,                 1.6213,                 1.2647,                 1.0585,                0.30671,                0.24425,                0.21941,                0.11559,                 1.5528,                 1.2168,                 1.0326,               0.009208,               0.009208,               0.009208
                     11,                 1.6151,                 1.2662,                 1.0589,                0.31474,                0.24901,                0.22671,                0.12372,                 1.5272,                 1.1643,                 1.0191,               0.009109,               0.009109,               0.009109
                     12,                 1.5901,                  1.236,                  1.055,                0.32017,                0.25197,                0.23059,                0.12402,                 1.5276,                 1.1555,                 1.0203,                0.00901,                0.00901,                0.00901
                     13,                 1.5915,                 1.2292,                  1.047,                0.33747,                0.25886,                0.23953,                0.13059,                  1.501,                  1.128,                 1.0122,               0.008911,               0.008911,               0.008911
                     14,                 1.5705,                 1.2174,                  1.043,                0.33497,                0.26082,                0.23716,                0.13033,                 1.4841,                 1.1298,                 1.0064,               0.008812,               0.008812,               0.008812
                     15,                 1.5693,                 1.2066,                 1.0373,                0.34373,                0.25914,                0.24529,                0.13424,                  1.478,                 1.1244,                 1.0063,               0.008713,               0.008713,               0.008713
                     16,                 1.5533,                 1.1872,                 1.0352,                0.34648,                0.26775,                0.24804,                0.13776,                 1.4677,                 1.1068,                0.99879,               0.008614,               0.008614,               0.008614
                     17,                 1.5542,                 1.1848,                 1.0366,                0.34241,                0.26483,                0.24835,                0.13666,                 1.4764,                 1.1059,                 1.0013,               0.008515,               0.008515,               0.008515
                     18,                 1.5275,                 1.1624,                 1.0308,                0.35115,                0.27592,                  0.257,                0.14284,                 1.4485,                 1.0857,                0.99777,               0.008416,               0.008416,               0.008416
                     19,                 1.5364,                 1.1595,                 1.0295,                0.36142,                0.27616,                0.26069,                0.14437,                 1.4536,                 1.0848,                0.99896,               0.008317,               0.008317,               0.008317
                     20,                 1.5148,                 1.1503,                 1.0274,                0.35108,                0.27377,                0.25184,                0.14025,                 1.4425,                 1.0905,                0.99595,               0.008218,               0.008218,               0.008218
                     21,                   1.51,                 1.1454,                 1.0267,                0.34807,                0.27579,                0.26075,                0.14583,                 1.4429,                 1.0756,                0.99501,               0.008119,               0.008119,               0.008119
                     22,                 1.5256,                 1.1329,                 1.0196,                0.38262,                0.27658,                0.26705,                0.14668,                 1.4419,                 1.0643,                0.99325,                0.00802,                0.00802,                0.00802
                     23,                 1.4957,                 1.1178,                 1.0163,                0.36416,                0.28363,                0.26815,                 0.1488,                 1.4215,                 1.0512,                0.98598,               0.007921,               0.007921,               0.007921
                     24,                 1.5005,                 1.1261,                 1.0173,                0.36808,                0.28388,                0.26831,                0.14992,                 1.4209,                 1.0567,                0.98617,               0.007822,               0.007822,               0.007822
                     25,                 1.4871,                 1.1059,                 1.0122,                0.36712,                0.29135,                0.27561,                0.15354,                 1.4168,                 1.0488,                0.98773,               0.007723,               0.007723,               0.007723
                     26,                 1.4774,                 1.1029,                 1.0172,                0.37765,                0.27312,                0.26715,                 0.1487,                 1.4275,                 1.0669,                0.98879,               0.007624,               0.007624,               0.007624
                     27,                 1.4703,                  1.098,                 1.0129,                 0.3745,                0.28156,                0.27188,                0.15171,                 1.4125,                 1.0437,                0.98439,               0.007525,               0.007525,               0.007525
                     28,                 1.4761,                 1.1008,                 1.0132,                0.38417,                0.28501,                0.27569,                0.15498,                 1.4017,                 1.0347,                0.98134,               0.007426,               0.007426,               0.007426
                     29,                 1.4606,                 1.0888,                 1.0053,                0.39097,                0.28608,                0.27916,                0.15721,                    1.4,                 1.0379,                0.98138,               0.007327,               0.007327,               0.007327
                     30,                 1.4686,                 1.0887,                 1.0127,                 0.3876,                0.28724,                0.27937,                  0.158,                 1.3955,                 1.0256,                 0.9804,               0.007228,               0.007228,               0.007228
                     31,                 1.4522,                 1.0754,                 1.0096,                0.39098,                0.29153,                0.28307,                0.16107,                 1.3931,                 1.0157,                0.97815,               0.007129,               0.007129,               0.007129
                     32,                 1.4655,                 1.0826,                 1.0125,                 0.4016,                0.29249,                0.28461,                0.16006,                 1.3895,                 1.0166,                0.97777,                0.00703,                0.00703,                0.00703
                     33,                 1.4558,                 1.0737,                  1.009,                0.40075,                0.28921,                0.28461,                0.16135,                 1.3917,                 1.0186,                0.97984,               0.006931,               0.006931,               0.006931
                     34,                 1.4539,                  1.072,                 1.0055,                0.39331,                0.29923,                0.29061,                 0.1637,                 1.3817,                  1.009,                0.97676,               0.006832,               0.006832,               0.006832
                     35,                 1.4572,                 1.0748,                 1.0043,                0.38993,                0.29562,                0.28743,                0.16187,                 1.3825,                 1.0105,                0.97617,               0.006733,               0.006733,               0.006733
                     36,                 1.4389,                 1.0604,                 1.0004,                0.39973,                0.29431,                0.28989,                0.16526,                 1.3754,                 1.0097,                0.97538,               0.006634,               0.006634,               0.006634
                     37,                 1.4401,                 1.0577,                 1.0018,                0.39311,                0.29798,                0.28969,                0.16386,                 1.3809,                 1.0132,                0.97408,               0.006535,               0.006535,               0.006535
                     38,                 1.4364,                 1.0535,                0.99812,                0.38874,                 0.2961,                0.29166,                0.16503,                 1.3737,                 1.0121,                0.97381,               0.006436,               0.006436,               0.006436
                     39,                 1.4437,                 1.0498,                0.99998,                0.39323,                0.30175,                0.29136,                0.16488,                 1.3744,                 1.0019,                0.97489,               0.006337,               0.006337,               0.006337
                     40,                 1.4319,                 1.0468,                0.99742,                0.39638,                0.29976,                0.29158,                0.16555,                 1.3666,                 1.0017,                0.97174,               0.006238,               0.006238,               0.006238
                     41,                 1.4285,                 1.0386,                0.99475,                0.40327,                  0.301,                0.29931,                0.16893,                 1.3627,                0.99537,                0.97004,               0.006139,               0.006139,               0.006139
