                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1764,                 2.3905,                 2.9396,                0.49145,                0.42264,                 0.4319,                0.19616,                 2.0246,                 1.7218,                 2.1873,                0.05509,                0.00499,                0.00499
                      2,                  2.033,                 1.5688,                 1.9649,                0.67826,                0.53575,                0.60772,                0.32887,                  1.669,                 1.3599,                 1.8142,              0.0099911,              0.0098911,              0.0098911
                      3,                 1.7259,                  1.323,                 1.6729,                0.74366,                0.61683,                0.70344,                 0.4248,                 1.3951,                 1.1376,                 1.5522,               0.009802,               0.009802,               0.009802
                      4,                 1.5835,                 1.1715,                 1.5531,                0.78963,                0.67249,                0.76997,                 0.4762,                  1.323,                0.98264,                 1.4717,               0.009802,               0.009802,               0.009802
                      5,                  1.524,                 1.1005,                 1.4983,                  0.799,                0.69422,                 0.7861,                0.49869,                  1.273,                0.92814,                 1.4353,               0.009703,               0.009703,               0.009703
                      6,                 1.4837,                 1.0542,                 1.4713,                0.80702,                0.69433,                0.79473,                0.50703,                 1.2468,                0.89846,                 1.4089,               0.009604,               0.009604,               0.009604
                      7,                 1.4518,                  1.019,                 1.4472,                0.80361,                0.70319,                0.79798,                0.51204,                 1.2372,                0.87881,                 1.3953,               0.009505,               0.009505,               0.009505
                      8,                 1.4295,                0.98658,                 1.4289,                0.81564,                0.70302,                0.80452,                0.51871,                 1.2157,                0.87221,                 1.3788,               0.009406,               0.009406,               0.009406
                      9,                 1.4151,                0.97398,                 1.4243,                0.82763,                 0.7084,                0.81482,                0.53303,                 1.1966,                0.83362,                  1.365,               0.009307,               0.009307,               0.009307
                     10,                 1.4005,                0.95556,                 1.4138,                0.81674,                0.73173,                0.82564,                0.54123,                 1.1839,                0.80799,                 1.3609,               0.009208,               0.009208,               0.009208
                     11,                 1.3875,                0.93727,                 1.3999,                0.82871,                0.72478,                0.82604,                 0.5459,                 1.1696,                0.79606,                 1.3452,               0.009109,               0.009109,               0.009109
                     12,                 1.3695,                0.92426,                 1.3936,                0.82977,                0.73174,                0.82911,                0.54738,                 1.1665,                0.78478,                 1.3439,                0.00901,                0.00901,                0.00901
                     13,                 1.3626,                0.91091,                 1.3857,                0.82688,                0.74836,                0.83668,                0.55636,                   1.16,                0.76977,                 1.3362,               0.008911,               0.008911,               0.008911
                     14,                 1.3534,                0.90476,                 1.3787,                0.83002,                0.74222,                0.83691,                0.55883,                 1.1481,                0.76193,                 1.3242,               0.008812,               0.008812,               0.008812
