                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4382,                 1.0604,                 1.0001,                0.39493,                0.29718,                0.28713,                0.16269,                 1.3766,                 1.0062,                0.97405,               0.006634,               0.006634,               0.006634
                     37,                 1.4397,                 1.0554,                 1.0022,                0.38114,                0.29873,                0.28635,                  0.161,                 1.3779,                 1.0154,                0.97301,               0.006535,               0.006535,               0.006535
                     38,                 1.4387,                 1.0553,                0.99931,                0.38553,                0.29901,                0.28824,                0.16172,                 1.3786,                 1.0107,                0.97286,               0.006436,               0.006436,               0.006436
                     39,                 1.4455,                 1.0527,                 1.0004,                0.38735,                0.30224,                0.28691,                0.16211,                 1.3716,                 1.0045,                0.97364,               0.006337,               0.006337,               0.006337
                     40,                 1.4328,                 1.0486,                 0.9973,                 0.3938,                0.30059,                0.29182,                0.16607,                  1.364,                 1.0057,                0.97171,               0.006238,               0.006238,               0.006238
                     41,                   1.43,                 1.0402,                0.99526,                 0.3988,                0.30178,                0.29329,                0.16601,                 1.3712,                0.99806,                 0.9725,               0.006139,               0.006139,               0.006139
                     42,                 1.4209,                 1.0347,                0.99006,                0.39355,                0.30887,                0.29492,                0.16646,                 1.3616,                0.99403,                0.97019,                0.00604,                0.00604,                0.00604
                     43,                 1.4258,                 1.0424,                0.99342,                0.41021,                0.30653,                0.29883,                0.16838,                  1.358,                0.98807,                0.96959,               0.005941,               0.005941,               0.005941
                     44,                 1.4265,                  1.039,                0.99543,                0.39727,                0.30778,                0.29718,                0.16822,                 1.3608,                0.98701,                0.96947,               0.005842,               0.005842,               0.005842
                     45,                 1.4075,                 1.0325,                0.99318,                0.40124,                0.30792,                0.29966,                0.16938,                 1.3575,                0.98292,                 0.9683,               0.005743,               0.005743,               0.005743
                     46,                 1.4066,                 1.0297,                0.99633,                0.39889,                0.30682,                0.30002,                0.17158,                 1.3512,                0.98197,                0.96618,               0.005644,               0.005644,               0.005644
                     47,                 1.4219,                 1.0281,                0.99109,                0.39845,                0.30589,                0.29747,                 0.1671,                  1.355,                0.98441,                 0.9666,               0.005545,               0.005545,               0.005545
                     48,                 1.4023,                 1.0186,                0.99122,                0.41689,                0.30545,                0.30229,                0.17279,                 1.3475,                0.98026,                0.96404,               0.005446,               0.005446,               0.005446
                     49,                 1.4185,                 1.0279,                 0.9906,                0.40809,                0.31448,                0.30468,                0.17367,                 1.3449,                0.97383,                0.96384,               0.005347,               0.005347,               0.005347
