                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4681,                 1.0938,                0.93403,                0.38685,                0.30029,                0.28951,                0.16573,                 1.4143,                 1.0627,                0.92049,               0.006634,               0.006634,               0.006634
                     37,                 1.4603,                 1.0884,                 0.9323,                0.39774,                0.30003,                0.29186,                0.16717,                 1.4046,                 1.0605,                0.92184,               0.006535,               0.006535,               0.006535
                     38,                 1.4546,                 1.0819,                0.93173,                0.39569,                0.29562,                0.29043,                 0.1664,                 1.4056,                 1.0638,                0.91991,               0.006436,               0.006436,               0.006436
                     39,                 1.4532,                   1.08,                0.93382,                0.39348,                0.29774,                0.29106,                0.16654,                 1.4094,                 1.0563,                0.92185,               0.006337,               0.006337,               0.006337
                     40,                 1.4487,                 1.0788,                0.93081,                0.41714,                0.29575,                0.29772,                0.17015,                 1.4075,                 1.0535,                0.92277,               0.006238,               0.006238,               0.006238
                     41,                 1.4562,                 1.0791,                 0.9319,                0.40908,                0.30115,                 0.2987,                0.17131,                 1.4011,                 1.0479,                0.92193,               0.006139,               0.006139,               0.006139
                     42,                 1.4491,                 1.0692,                0.93082,                 0.3986,                0.30402,                0.29593,                0.16982,                 1.3973,                 1.0497,                0.91955,                0.00604,                0.00604,                0.00604
                     43,                 1.4485,                 1.0689,                0.93016,                0.40939,                0.29859,                0.30144,                0.17315,                 1.3966,                 1.0478,                0.91938,               0.005941,               0.005941,               0.005941
                     44,                 1.4519,                 1.0717,                0.92847,                 0.4062,                0.30502,                0.29759,                0.17169,                 1.3988,                 1.0517,                0.91925,               0.005842,               0.005842,               0.005842
                     45,                 1.4473,                 1.0647,                 0.9306,                 0.4112,                0.30267,                0.30039,                0.17214,                 1.3951,                 1.0433,                  0.919,               0.005743,               0.005743,               0.005743
                     46,                  1.438,                 1.0597,                0.92766,                 0.4014,                0.30828,                0.30056,                0.17145,                 1.3989,                 1.0443,                0.91961,               0.005644,               0.005644,               0.005644
                     47,                 1.4418,                 1.0626,                0.92869,                0.41145,                0.30524,                0.30598,                0.17623,                 1.3901,                 1.0405,                0.91773,               0.005545,               0.005545,               0.005545
                     48,                 1.4304,                 1.0544,                0.92871,                0.41117,                0.30287,                0.30122,                0.17342,                  1.391,                 1.0377,                0.91667,               0.005446,               0.005446,               0.005446
                     49,                 1.4263,                 1.0504,                0.92533,                0.41822,                 0.3077,                0.30574,                0.17554,                 1.3892,                 1.0436,                0.91642,               0.005347,               0.005347,               0.005347
                     50,                 1.4274,                 1.0464,                0.92545,                0.41726,                0.30458,                 0.3038,                 0.1745,                 1.3907,                 1.0431,                0.91811,               0.005248,               0.005248,               0.005248
                     51,                 1.4244,                 1.0452,                0.92348,                0.41274,                0.30922,                0.30901,                0.17743,                 1.3833,                 1.0331,                0.91643,               0.005149,               0.005149,               0.005149
                     52,                 1.4223,                  1.041,                0.92375,                0.41745,                0.30757,                0.30827,                0.17657,                 1.3805,                  1.028,                0.91513,                0.00505,                0.00505,                0.00505
                     53,                 1.4258,                  1.045,                0.92427,                0.40994,                0.31395,                0.30847,                0.17724,                 1.3794,                 1.0283,                0.91605,               0.004951,               0.004951,               0.004951
                     54,                 1.4217,                  1.031,                0.92316,                0.42008,                0.30647,                0.30754,                0.17798,                 1.3761,                 1.0238,                0.91515,               0.004852,               0.004852,               0.004852
                     55,                 1.4122,                 1.0335,                0.92218,                0.42274,                0.30753,                 0.3071,                0.17763,                 1.3768,                   1.03,                0.91394,               0.004753,               0.004753,               0.004753
                     56,                 1.4073,                 1.0291,                0.92239,                0.43701,                0.30976,                0.31173,                0.17922,                 1.3745,                  1.024,                0.91553,               0.004654,               0.004654,               0.004654
                     57,                 1.4151,                 1.0272,                 0.9223,                 0.4205,                0.31165,                0.31143,                0.17853,                 1.3801,                 1.0248,                0.91499,               0.004555,               0.004555,               0.004555
                     58,                  1.408,                  1.029,                0.92178,                0.41788,                0.31558,                0.31117,                0.17937,                 1.3748,                 1.0183,                0.91419,               0.004456,               0.004456,               0.004456
                     59,                 1.4132,                 1.0243,                0.92065,                0.41977,                0.31229,                0.31182,                0.17996,                 1.3755,                 1.0192,                0.91509,               0.004357,               0.004357,               0.004357
                     60,                 1.4102,                 1.0273,                0.92178,                0.42287,                0.31857,                0.31365,                0.18126,                 1.3695,                 1.0152,                0.91329,               0.004258,               0.004258,               0.004258
                     61,                  1.402,                 1.0165,                0.92083,                0.43852,                0.31231,                0.31554,                0.18282,                 1.3716,                 1.0129,                0.91333,               0.004159,               0.004159,               0.004159
                     62,                 1.4027,                 1.0185,                0.91928,                0.43041,                0.31021,                0.31324,                0.18157,                 1.3721,                  1.012,                0.91312,                0.00406,                0.00406,                0.00406
