                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.179,                0.81221,                0.99692,                0.56888,                  0.467,                0.48749,                 0.3012,                 1.1696,                0.82584,                0.99371,               0.006634,               0.006634,               0.006634
                     37,                 1.1835,                0.80613,                0.99907,                0.56484,                0.46596,                0.48273,                0.29872,                 1.1718,                0.81977,                0.99452,               0.006535,               0.006535,               0.006535
                     38,                 1.1849,                0.80775,                0.99653,                0.57147,                0.46633,                 0.4881,                0.30156,                 1.1726,                0.81331,                0.99438,               0.006436,               0.006436,               0.006436
                     39,                 1.1841,                0.80023,                0.99569,                0.58833,                0.46628,                0.49184,                0.30352,                 1.1671,                0.80922,                0.99295,               0.006337,               0.006337,               0.006337
                     40,                 1.1736,                0.79669,                0.99125,                0.57488,                0.46966,                0.49041,                0.30385,                 1.1687,                0.81422,                0.99414,               0.006238,               0.006238,               0.006238
                     41,                 1.1714,                0.78957,                0.99088,                0.58269,                0.46983,                0.49378,                0.30516,                 1.1703,                0.81153,                0.99189,               0.006139,               0.006139,               0.006139
                     42,                 1.1621,                0.78202,                0.98474,                0.58893,                0.46663,                0.49318,                0.30612,                 1.1619,                 0.8072,                0.99091,                0.00604,                0.00604,                0.00604
                     43,                  1.168,                 0.7864,                0.98944,                0.58982,                0.47263,                0.49738,                 0.3088,                  1.163,                0.80251,                0.99174,               0.005941,               0.005941,               0.005941
                     44,                 1.1701,                0.78025,                0.99073,                0.59472,                0.47515,                0.50272,                0.31216,                 1.1594,                0.79776,                0.99083,               0.005842,               0.005842,               0.005842
                     45,                 1.1495,                0.77643,                0.98704,                0.59437,                0.47531,                0.50221,                0.31114,                 1.1567,                0.79822,                0.98955,               0.005743,               0.005743,               0.005743
                     46,                  1.147,                0.77274,                  0.989,                0.58288,                0.47555,                0.49841,                0.30969,                  1.162,                0.80283,                0.99058,               0.005644,               0.005644,               0.005644
                     47,                 1.1654,                0.77203,                0.98774,                0.58177,                0.48246,                0.50201,                0.31212,                  1.159,                0.79677,                0.98912,               0.005545,               0.005545,               0.005545
                     48,                 1.1448,                0.76084,                0.98556,                0.58724,                 0.4766,                0.50119,                0.31185,                 1.1538,                0.79327,                0.98718,               0.005446,               0.005446,               0.005446
                     49,                 1.1533,                0.76594,                0.98372,                0.57942,                0.48333,                 0.5034,                0.31272,                 1.1583,                0.79248,                0.99001,               0.005347,               0.005347,               0.005347
                     50,                 1.1472,                0.75532,                0.98142,                0.58782,                0.47716,                0.50246,                 0.3139,                 1.1582,                 0.7923,                0.98991,               0.005248,               0.005248,               0.005248
                     51,                 1.1382,                0.75045,                0.98017,                0.59563,                0.47036,                0.50289,                0.31334,                 1.1556,                0.79326,                0.98818,               0.005149,               0.005149,               0.005149
                     52,                 1.1494,                0.75253,                0.98706,                 0.5862,                 0.4806,                0.50234,                 0.3118,                 1.1587,                0.79267,                0.98945,                0.00505,                0.00505,                0.00505
                     53,                 1.1394,                 0.7436,                0.97783,                0.59085,                0.48155,                0.50692,                0.31517,                 1.1559,                0.78721,                0.98893,               0.004951,               0.004951,               0.004951
                     54,                  1.136,                0.74716,                0.97959,                0.59704,                0.47591,                 0.5094,                0.31966,                 1.1556,                0.78421,                0.98799,               0.004852,               0.004852,               0.004852
                     55,                 1.1315,                0.73643,                0.97566,                0.59395,                0.47904,                0.50959,                0.31818,                 1.1537,                0.78349,                0.98742,               0.004753,               0.004753,               0.004753
                     56,                 1.1277,                0.73653,                0.97837,                0.60076,                0.48504,                 0.5108,                 0.3186,                 1.1508,                0.78457,                 0.9864,               0.004654,               0.004654,               0.004654
                     57,                 1.1361,                0.73892,                0.97661,                0.60541,                0.47948,                0.51208,                0.31951,                 1.1521,                0.78364,                0.98739,               0.004555,               0.004555,               0.004555
                     58,                 1.1272,                0.72773,                0.97322,                0.61918,                0.46861,                0.50858,                0.31751,                 1.1453,                0.77953,                0.98513,               0.004456,               0.004456,               0.004456
                     59,                 1.1182,                0.72908,                0.97583,                0.59309,                0.48542,                0.51292,                0.32008,                 1.1503,                0.77934,                0.98443,               0.004357,               0.004357,               0.004357
                     60,                 1.1264,                 0.7221,                0.97308,                0.60459,                0.47736,                0.50885,                0.31743,                 1.1477,                0.78075,                0.98462,               0.004258,               0.004258,               0.004258
                     61,                 1.1144,                0.71656,                 0.9741,                0.59995,                 0.4818,                0.51133,                0.32055,                 1.1463,                0.77939,                0.98385,               0.004159,               0.004159,               0.004159
                     62,                 1.1199,                0.71785,                0.96769,                0.59839,                0.48531,                0.51225,                0.32068,                 1.1486,                 0.7768,                0.98549,                0.00406,                0.00406,                0.00406
                     63,                 1.1123,                0.71297,                0.97274,                0.59799,                0.49041,                 0.5119,                0.32122,                   1.15,                0.77662,                0.98622,               0.003961,               0.003961,               0.003961
                     64,                 1.1154,                0.71325,                 0.9733,                0.61055,                0.48103,                0.51408,                0.32164,                  1.147,                 0.7772,                0.98533,               0.003862,               0.003862,               0.003862
                     65,                 1.1058,                0.70928,                0.96748,                0.60242,                0.48546,                0.51383,                0.32019,                 1.1505,                0.77563,                0.98658,               0.003763,               0.003763,               0.003763
                     66,                 1.1128,                0.70776,                0.97043,                0.61037,                0.48433,                0.51505,                0.31996,                 1.1507,                0.77807,                0.98736,               0.003664,               0.003664,               0.003664
                     67,                 1.1009,                0.69835,                0.96763,                0.60628,                0.48566,                0.51554,                0.32155,                 1.1519,                0.77628,                0.98683,               0.003565,               0.003565,               0.003565
                     68,                 1.0992,                 0.6955,                 0.9657,                0.60797,                0.48282,                0.51548,                0.32174,                 1.1501,                0.77627,                0.98594,               0.003466,               0.003466,               0.003466
                     69,                 1.1001,                0.69726,                 0.9624,                0.61335,                0.48748,                0.51682,                0.32247,                 1.1485,                0.77291,                0.98562,               0.003367,               0.003367,               0.003367
                     70,                  1.097,                0.69211,                0.96308,                0.61484,                0.48388,                0.51745,                0.32215,                 1.1489,                0.77367,                0.98592,               0.003268,               0.003268,               0.003268
                     71,                 1.1043,                0.69326,                0.96415,                0.61054,                0.48718,                0.51817,                0.32181,                 1.1477,                 0.7711,                0.98524,               0.003169,               0.003169,               0.003169
                     72,                 1.0893,                0.67304,                0.96092,                0.61147,                0.47865,                0.51731,                0.32304,                 1.1433,                0.77157,                0.98406,                0.00307,                0.00307,                0.00307
                     73,                 1.1006,                0.68208,                0.96109,                0.61732,                 0.4807,                0.51692,                0.32335,                 1.1427,                0.77163,                0.98435,               0.002971,               0.002971,               0.002971
                     74,                 1.0825,                0.67533,                0.95987,                0.60629,                0.48716,                0.51728,                0.32246,                 1.1471,                0.77389,                0.98553,               0.002872,               0.002872,               0.002872
                     75,                  1.084,                0.67667,                0.96099,                0.61692,                0.48255,                0.51772,                0.32351,                 1.1459,                0.77183,                 0.9862,               0.002773,               0.002773,               0.002773
                     76,                 1.0919,                0.67075,                0.96014,                0.61081,                0.48723,                0.52054,                0.32425,                  1.147,                0.77123,                0.98606,               0.002674,               0.002674,               0.002674
                     77,                 1.0804,                0.66682,                0.95969,                0.60501,                0.49784,                0.52042,                 0.3232,                 1.1485,                0.77218,                0.98664,               0.002575,               0.002575,               0.002575
                     78,                 1.0931,                 0.6752,                0.96119,                0.61013,                0.49456,                0.52001,                0.32335,                  1.149,                0.77047,                0.98626,               0.002476,               0.002476,               0.002476
                     79,                 1.0705,                0.65749,                0.95656,                0.60296,                0.49551,                0.51961,                0.32353,                 1.1486,                0.77204,                0.98605,               0.002377,               0.002377,               0.002377
